Client name,Registrant name,Location of Client,Description of service (when available)
Jamaica Tourist Board,Ruder Finn Inc,Jamaica,,1481,129739
"Novartis, A.G.",Ruder Finn Inc,Switzerland,,1481,129740
Republic of Singapore (Singapore Tourism Board),Ruder Finn Inc,Singapore,,1481,129785
Via Rail,Ruder Finn Inc,Canada,,1481,129815
Embassy of the Republic of Korea to the United States,Ruder Finn Inc,Korea,,1481,129904
Oficina De Visitantes Y Convenciones De La Riviera Nayarit,Ruder Finn Inc,Mexico,,1481,130075
Bay Gardens Resorts,Ruder Finn Inc,France,,1481,130384
Society of London Theatre,Ruder Finn Inc,United Kingdom,,1481,130389
Stedelijk Museum Amsterdam,Ruder Finn Inc,Netherlands,,1481,130390
Horizontes LTDA,Ruder Finn Inc,Brazil,,1481,130393
Society of London Theatre,Alpine Tourist Commission,United Kingdom,,2052,130389
Stedelijk Museum Amsterdam,Alpine Tourist Commission,Netherlands,,2052,130390
euro test,Alpine Tourist Commission,Europe,,2052,130394
Korea Trade - Investment Promotion Agency (KOTRA),"World Zionist Organization_American Section, Inc.",Korea,,2278,129743
States of Jersey,"World Zionist Organization_American Section, Inc.",States of Jersey,,2278,129797
Vacci-Test Corporation,"World Zionist Organization_American Section, Inc.",Canada,,2278,130069
euro test,"Saudi Refining, Inc.",Europe,,4184,130394
Government of Cote d'Ivoire,"JWI, LLC dba Jefferson Waterman International",Cote D'Ivoire,,4990,129841
Government of the Republic of Ghana (Gh),"JWI, LLC dba Jefferson Waterman International",Ghana,,4990,129967
Republic of Montenegro,Orion Strategies LLC,Montenegro,,5437,129971
Korea Trade - Investment Promotion Agency (KOTRA),"The Whitaker Group, LLC",Korea,,5539,129743
"International Counsel Bureau, Kuwaiti Counsel for the Families of Kuwaiti Citizens at Guantanamo Bay",Tourism Ireland Limited,Kuwait,,5594,129749
Korea Trade - Investment Promotion Agency (KOTRA),"Brownstein Hyatt Farber Schreck, LLP",Korea,,5870,129743
States of Jersey,"Brownstein Hyatt Farber Schreck, LLP",States of Jersey,,5870,129797
The Government of United Mexican States,Gregory J Kuykendall,Mexico,,5917,130334
Republic of Equatorial Guinea,Salvarore Services LLC,Equatorial Guinea,,6012,129986
JETRO New York,"Washington Research and Analysis, LLC",Japan,,6013,130294
Government of Cote d'Ivoire,Augustin Douoguih,Cote D'Ivoire,,6014,129841
"Bavarian Ministry for Economic Affairs, Infrastructure, Transport and Technology",Bavarian U.S. Offices for Economic Development LLC ,Germany,,6015,129987
Sudan Liberation Movement (Abdul Wahid),Ester M. Sprange,Sudan,,6091,130055
Ullens Center for Comtemporary Art,"Conover + Company Communications, Inc",China,,6125,129742
States of Jersey,"Conover + Company Communications, Inc",States of Jersey,,6125,129797
Vacci-Test Corporation,"Conover + Company Communications, Inc",Canada,,6125,130069
Vacci-Test Corporation,"Hillenby, LLC",Canada,,6146,130069
Vacci-Test Corporation,"Trevino Strategies & Media, Inc",Canada,,6152,130069
Korea Trade - Investment Promotion Agency (KOTRA),TEST TEST,Korea,,6172,129743
Defense SA/ Government of South Australia,Paramount Strategies ,Australia,,6174,130392
Republic of Rwanda Ministry of Foreign Affairs,Michelle E. Martin,Rwanda,,6175,130391
